disease,drug,zscore,d,mean,sd
C0024138,DB00366,-3.4209602373352017,1.0,1.8905,0.26030703025465907
C0011615,DB00736,2.237719916611246,2.2222222222222223,1.9586666666666668,0.11777861634921599
C0030567,DB09074,-0.23022275200135545,1.037037037037037,1.0526666666666664,0.06788916166520943
C0019829,DB00527,-0.7542206298325524,1.6,1.7680000000000002,0.2227464926772137
C0015967,DB01598,-3.231218504018729,0.0,1.121,0.34692794640962554
C0024138,DB00328,1.4317993645874787,2.085714285714286,2.0021428571428572,0.05836811402378762
C0027726,DB00496,1.0756452885668957,2.0,1.677,0.30028486475345373
C0003467,DB00994,2.2365186732860964,2.0,1.49475,0.22590913549478253
C0042164,DB00571,-1.0098926119367002,1.6875,1.8005,0.11189308513040473
C0033774,DB00997,-0.952013780218246,1.5978260869565217,1.645717391304348,0.05030526379234475
C0018916,DB09053,0.06365822671712609,1.2307692307692308,1.2244615384615383,0.09908683658000167
C0036341,DB09053,-1.0342460272745397,0.7692307692307693,0.8788461538461539,0.10598579228217558
C0034067,DB00381,1.2424297934542876,2.0833333333333335,1.9588333333333334,0.10020686935867557
C0001973,DB00153,-1.7770725526955495,0.75,1.01675,0.15010642058219895
C0003873,DB00794,1.950956960655622,1.7142857142857142,1.525,0.0970219836229009
C0036341,DB09559,0.7588863036381432,1.0,0.7895,0.27738015430091606
C0020443,DB01607,1.0537033222983747,2.0,1.648,0.33405987487275385
C0220994,DB00415,0.5290556197132588,1.9090909090909092,1.8474545454545455,0.11650261586819513
C0153633,DB01615,0.42700841014689883,2.0,1.84,0.37469987990390385
C0524910,DB00481,1.7087200424482876,2.0344827586206895,1.9060689655172414,0.07515203773197061
C0024138,DB00415,-1.0511025656788011,1.8181818181818181,1.9185454545454546,0.09548415125294808
C0002962,DB00152,0.504683211818158,2.0,1.797,0.4022325198190718
C0030920,DB06412,-2.1582322590131127,1.5555555555555556,1.820777777777778,0.12288863773331778
C0007134,DB01084,-0.8503587665478719,1.0,1.446,0.5244845088274772
C0042900,DB00832,1.5196570582278173,2.3333333333333335,2.037333333333333,0.19478078846630528
C0036202,DB00885,0.1113639239774479,2.0,1.972,0.25142792207708353
C0917801,DB00620,2.768818599600824,2.0454545454545454,1.808681818181818,0.08551399044591165
C0015230,DB00456,0.39983695850200096,1.6666666666666667,1.6075833333333336,0.14776856435355631
C1140680,DB00681,0.7829090525633278,1.5714285714285714,1.442,0.16531750527702865
C0013338,DB00564,1.0174738681050322,2.2222222222222223,2.1595555555555555,0.061590443382471126
C0003864,DB01032,-1.5915924843292284,1.4285714285714286,1.6807142857142858,0.158421744023956
C0003873,DB01586,-1.8787760586166695,0.5,0.9905,0.261074223162686
C0020538,DB00620,-7.6705460124860245,0.45454545454545453,1.2055454545454545,0.09790698064747033
C0027819,DB01042,-2.9758082809140367,0.9473684210526315,1.2356315789473684,0.09686886072048807
C0007102,DB00209,-0.9362347344726226,1.0,1.3085,0.32951138068358127
C0017612,DB00770,-0.06911979120324863,2.125,2.135,0.14467636296230285
C0024591,DB06168,0.32051276732205636,2.0,1.903,0.3026400502246852
C0020538,DB00760,-3.2394834269622708,0.0,0.913,0.2818350581457176
C0034067,DB01182,-0.09310007080780339,1.875,1.888125,0.14097733638780383
C0018099,DB01626,0.30156099037640893,2.0,1.906,0.31171140498865296
C0032285,DB00573,-0.43490748598906653,1.5,1.637,0.3150095236655553
C0020538,DB00547,-5.793993274007909,0.0,0.8584,0.14815343397977654
